cycle_idx,dod,sigma_bar,measured,expected,ratio,pass
0,0.8,0.5,1.5557016639804915,3.456988014095165e-13,4500165050146.065,False
1,0.8,0.5,0.8879421127364678,3.456988014095165e-13,2568542642080.518,False
2,0.6754721626442224,0.5622639186778888,2.5503329159075614,3.578505182035022e-13,7126810738491.763,False
3,0.8000000000000004,0.5000000000000002,1.921492998348267,3.456988014095166e-13,5558286550354.7295,False
4,0.49501925192887647,0.34750962596443824,3.4761061694113105,2.7077317117213935e-13,12837705280636.67,False
5,0.31325941426997017,0.7433702928650149,1.158702056470437,3.7663935411347314e-13,3076423225071.02,False
6,0.8000000000000004,0.5000000000000002,1.853422914911604,3.456988014095166e-13,5361380795520.981,False
9,0.8000000000000004,0.5000000000000002,1.2423187472039243,3.456988014095166e-13,3593644936397.2974,False
10,0.8000000000000004,0.5000000000000002,0.6242781898631571,3.456988014095166e-13,1805844241628.2314,False
13,0.8000000000000004,0.5000000000000002,1.7096797291301944,3.456988014095166e-13,4945576097340.583,False
14,0.27215830763998883,0.44172102011060377,3.4761061694113105,2.6839592426012715e-13,12951411907590.283,False
15,0.014791988142600493,0.8926040059286997,3.4761061694113105,2.550483032618965e-13,13629207193124.781,False
16,0.8000000000000004,0.5000000000000002,2.1310610705675233,3.456988014095166e-13,6164502340993.242,False
18,0.8000000000000004,0.5000000000000002,1.7883908252244454,3.456988014095166e-13,5173263019520.592,False
19,0.8000000000000004,0.5000000000000002,1.0655305352837616,3.456988014095166e-13,3082251170496.621,False
23,0.8000000000000004,0.5000000000000002,2.639006769608133,3.456988014095166e-13,7633832569994.802,False
25,0.8000000000000004,0.5000000000000002,1.4358398366852614,3.456988014095166e-13,4153441755744.932,False
27,0.8000000000000004,0.5000000000000002,1.4397302982149005,3.456988014095166e-13,4164695660918.3857,False
28,0.8000000000000004,0.5000000000000002,0.8879421127364681,3.456988014095166e-13,2568542642080.518,False
29,0.8000000000000004,0.5000000000000002,1.3450450988437868,3.456988014095166e-13,3890800585248.3105,False
30,0.8000000000000004,0.5000000000000002,1.1044921820655857,3.456988014095166e-13,3194955196726.871,False
31,0.8000000000000004,0.5000000000000002,2.087446289155687,3.456988014095166e-13,6038338231560.39,False
32,0.6639454689790777,0.4319727344895388,3.362612747109467,3.1154372559840033e-13,10793389405133.098,False
33,0.2585778791935667,0.22928893959678334,3.4761061694113105,2.1323514281905364e-13,16301750843954.709,False
34,0.8,0.5,1.4573330948043208,3.456988014095165e-13,4215615121783.3027,False
35,0.8,0.5,2.0402663327260493,3.456988014095165e-13,5901861170496.624,False
36,0.8000000000000004,0.5000000000000002,0.7531023189024839,3.456988014095166e-13,2178492710509.444,False
38,0.5264897097442686,0.5933838181073101,3.339914062649099,3.535391604387941e-13,9447083764366.512,False
39,0.8000000000000004,0.5000000000000002,0.7286665474021604,3.456988014095166e-13,2107807560891.651,False
40,0.8000000000000004,0.5000000000000002,0.6338360955122062,3.456988014095166e-13,1833492314488.4167,False
44,0.8000000000000004,0.5000000000000002,1.1502951362999299,3.456988014095166e-13,3327449015182.6826,False
45,0.8000000000000004,0.5000000000000002,0.3054978375926088,3.456988014095166e-13,883711011860.6239,False
46,0.8000000000000004,0.5000000000000002,3.4004438878767487,3.456988014095166e-13,9836435284161.037,False
47,0.4478175371944216,0.6760912314027892,3.4761061694113105,3.7432179424067905e-13,9286411378911.766,False
48,0.8000000000000004,0.5000000000000002,1.280269670287212,3.456988014095166e-13,3703425250730.325,False
52,0.8000000000000004,0.5000000000000002,2.292183352429353,3.456988014095166e-13,6630579403467.53,False
55,0.8000000000000004,0.5000000000000002,1.6419537618970552,3.456988014095166e-13,4749665764539.312,False
56,0.8000000000000004,0.5000000000000002,2.550332915907561,3.456988014095166e-13,7377326463120.776,False
57,0.8,0.5,2.5503329159075614,3.456988014095165e-13,7377326463120.78,False
58,0.8000000000000004,0.5000000000000002,0.6297366674482784,3.456988014095166e-13,1821633933588.011,False
62,0.8000000000000004,0.5000000000000002,0.9629796751208551,3.456988014095166e-13,2785603164357.2417,False
63,0.8000000000000004,0.5000000000000002,1.3053089424411466,3.456988014095166e-13,3775856141586.302,False
64,0.5000000000000004,0.6500000000000002,2.317404112940874,3.7154083667296134e-13,6237279685572.505,False
65,0.8000000000000004,0.5000000000000002,1.4944945542708743,3.456988014095166e-13,4323111761387.012,False
66,0.8000000000000004,0.5000000000000002,0.31339133390698876,3.456988014095166e-13,906544461910.7711,False
68,0.8000000000000004,0.5000000000000002,1.3195033848040667,3.456988014095166e-13,3816916284997.402,False
69,0.20547090306523327,0.2027354515326166,3.4761061694113105,1.9908612060673903e-13,17460313952662.578,False
70,0.49723003726796494,0.6513849813660175,2.3930663944754356,3.7170754566138123e-13,6438035553508.713,False
71,0.8000000000000004,0.5000000000000002,0.6948251033247286,3.456988014095166e-13,2009914701733.765,False
72,0.8000000000000004,0.5000000000000002,1.3349832114948061,3.456988014095166e-13,3861694648785.8315,False
73,0.04619280944679427,0.12309640472339711,2.783261718874249,1.403953607296061e-13,19824456480685.72,False
74,0.8,0.5,1.7002219439383743,3.456988014095165e-13,4918217642080.5205,False
75,0.8000000000000004,0.5000000000000002,0.982364293898294,3.456988014095166e-13,2841676887200.37,False
77,0.8000000000000004,0.5000000000000002,1.2001566663094407,3.456988014095166e-13,3471683041468.6016,False
78,0.8000000000000004,0.5000000000000002,1.3319131691047021,3.456988014095166e-13,3852813963120.777,False
79,0.8000000000000004,0.5000000000000002,2.4935862047566397,3.456988014095166e-13,7213175731560.39,False
80,0.8,0.5,3.4004438878767487,3.456988014095165e-13,9836435284161.041,False
81,0.8000000000000004,0.5000000000000002,1.1163513650219479,3.456988014095166e-13,3229260154996.928,False
83,0.8000000000000004,0.5000000000000002,2.4505062860646953,3.456988014095166e-13,7088558814995.175,False
84,0.8,0.5,2.5503329159075614,3.456988014095165e-13,7377326463120.78,False
85,0.7763809776332043,0.5118095111833979,3.5517684509458722,3.4810339873368765e-13,10203199577672.352,False
86,0.8000000000000004,0.5000000000000002,0.6893371474267769,3.456988014095166e-13,1994039738107.6958,False
87,0.8000000000000004,0.5000000000000002,1.7096797291301946,3.456988014095166e-13,4945576097340.584,False
88,0.3483077806858793,0.2741538903429397,3.4761061694113105,2.3562389763637203e-13,14752774248628.346,False
89,0.8,0.5,0.6800887775753497,3.456988014095165e-13,1967287056832.208,False
90,0.5000000000000001,0.65,2.3930663944754356,3.715408366729612e-13,6440924276062.467,False
91,0.8,0.5,1.9863463825207486,3.456988014095165e-13,5745887386423.746,False
92,0.8000000000000004,0.5000000000000002,1.1504651336659648,3.456988014095166e-13,3327940765126.107,False
95,0.8000000000000004,0.5000000000000002,1.0131435431882634,3.456988014095166e-13,2930711761387.012,False
96,0.8,0.5,3.4004438878767487,3.456988014095165e-13,9836435284161.041,False
97,0.8000000000000004,0.5000000000000002,1.6625190026175207,3.456988014095166e-13,4809154662495.031,False
99,0.8000000000000004,0.5000000000000002,2.1501620592789195,3.456988014095166e-13,6219755609542.384,False
100,0.8000000000000004,0.5000000000000002,2.1310610705675233,3.456988014095166e-13,6164502340993.242,False
