cycle_idx,dod,sigma_bar,sg0_charge,sg1_discharge,sg2_boundary,eff_ratio,expected_A,pass_A,pass_B,c_ratio,pass_C
0,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
1,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
2,0.675472,0.562264,-1.90019e-05,2.10409e-05,0,1.1073,1.1073,True,True,0,False
3,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
4,0.495019,0.34751,-1.43781e-05,1.59209e-05,0,1.1073,1.1073,True,True,0,False
5,0.313259,0.74337,-1.99995e-05,2.21456e-05,0,1.1073,1.1073,True,True,0,False
6,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
9,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
10,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
13,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
14,0.272158,0.441721,-1.42518e-05,1.57811e-05,0,1.1073,1.1073,True,True,0,False
15,0.014792,0.892604,-1.35431e-05,1.49963e-05,0,1.1073,1.1073,True,True,0,False
16,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
18,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
19,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
23,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
25,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
27,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
28,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
29,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
30,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
31,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
32,0.663945,0.431973,-1.6543e-05,1.83181e-05,0,1.1073,1.1073,True,True,0,False
33,0.258578,0.229289,-1.13228e-05,1.25378e-05,0,1.1073,1.1073,True,True,0,False
34,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
35,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
36,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
38,0.52649,0.593384,-1.87729e-05,2.07874e-05,0,1.1073,1.1073,True,True,0,False
39,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
40,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
44,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
45,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
46,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
47,0.447818,0.676091,-1.98765e-05,2.20093e-05,0,1.1073,1.1073,True,True,0,False
48,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
52,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
55,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
56,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
57,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
58,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
62,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
63,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
64,0.5,0.65,-1.97288e-05,2.18458e-05,0,1.1073,1.1073,True,True,0,False
65,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
66,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
68,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
