cycle_idx,dod,sigma_bar,count,s_sigma,phi_prime,expected_sg,measured_sg,ratio,note
0,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
1,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
2,0.675472,0.562264,1,1.0669,3.56208e-05,1.90019e-05,1.90019e-05,1,
3,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
4,0.495019,0.34751,1,0.853346,3.36981e-05,1.43781e-05,1.43781e-05,1,
5,0.313259,0.74337,1,1.28802,3.10548e-05,1.99995e-05,1.99995e-05,1,
6,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
7,3.78956e-16,0.9,1,,,,,,skip_zero_dod
8,3.78956e-16,0.9,1,,,,,,skip_zero_dod
9,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
10,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
11,3.78956e-16,0.9,1,,,,,,skip_zero_dod
12,3.78956e-16,0.9,1,,,,,,skip_zero_dod
13,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
14,0.272158,0.441721,1,0.94119,3.02847e-05,1.42518e-05,1.42518e-05,1,
15,0.014792,0.892604,1,1.50427,1.80062e-05,1.35431e-05,1.35431e-05,1,
16,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
17,3.78956e-16,0.9,1,,,,,,skip_zero_dod
18,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
19,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
20,3.78956e-16,0.9,1,,,,,,skip_zero_dod
21,3.78956e-16,0.9,1,,,,,,skip_zero_dod
22,3.78956e-16,0.9,1,,,,,,skip_zero_dod
23,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
24,4.73695e-17,0.398889,1,,,,,,skip_zero_dod
25,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
26,3.78956e-16,0.9,1,,,,,,skip_zero_dod
27,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
28,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
29,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
30,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
31,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
32,0.663945,0.431973,1,0.931696,3.55115e-05,1.6543e-05,1.6543e-05,1,
33,0.258578,0.229289,1,0.754621,3.00092e-05,1.13228e-05,1.13228e-05,1,
34,0.8,0.5,1,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
35,0.8,0.5,1,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
36,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
37,3.78956e-16,0.9,1,,,,,,skip_zero_dod
38,0.52649,0.593384,1,1.10199,3.40709e-05,1.87729e-05,1.87729e-05,1,
39,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
40,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
41,3.78956e-16,0.9,1,,,,,,skip_zero_dod
42,3.78956e-16,0.9,1,,,,,,skip_zero_dod
43,3.78956e-16,0.9,1,,,,,,skip_zero_dod
44,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
45,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
46,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
47,0.447818,0.676091,1,1.20098,3.31005e-05,1.98765e-05,1.98765e-05,1,
48,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
49,3.78956e-16,0.9,1,,,,,,skip_zero_dod
50,3.78956e-16,0.9,1,,,,,,skip_zero_dod
51,3.78956e-16,0.9,1,,,,,,skip_zero_dod
52,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
53,4.73695e-17,0.383346,1,,,,,,skip_zero_dod
54,1.89478e-16,0.680796,1,,,,,,skip_zero_dod
55,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
56,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
57,0.8,0.5,1,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
58,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
59,3.78956e-16,0.9,1,,,,,,skip_zero_dod
60,3.78956e-16,0.9,1,,,,,,skip_zero_dod
61,3.78956e-16,0.9,1,,,,,,skip_zero_dod
62,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
63,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
64,0.5,0.65,1,1.16883,3.37583e-05,1.97288e-05,1.97288e-05,1,
65,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
66,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
