t,dod_owner,analytic,central_difference,rel_gap,predicted_owning_cycle
3.00000000e+00,4.36363636e-01,1.13148671e+00,2.74913956e+02,9.95884215e-01,1.92535919e-01
3.36000000e+02,4.36363636e-01,1.13148671e+00,2.64055572e+02,9.95714967e-01,1.92535919e-01
7.75000000e+02,4.36363636e-01,1.13148671e+00,2.52826310e+02,9.95524648e-01,1.92535919e-01
1.13200000e+03,4.36363636e-01,1.13148671e+00,2.44076168e+02,9.95364207e-01,1.92535919e-01
1.46700000e+03,1.09340403e-01,8.83774854e-01,2.37664007e+02,9.96281411e-01,4.82440636e-02
1.62100000e+03,4.36363636e-01,1.13148671e+00,2.34644798e+02,9.95177874e-01,1.92535919e-01
1.87300000e+03,4.36363636e-01,1.13148671e+00,2.27138781e+02,9.95018523e-01,1.92535919e-01
2.08900000e+03,4.36363636e-01,1.13148671e+00,2.20638355e+02,9.94871759e-01,1.92535919e-01
2.29100000e+03,4.36363636e-01,1.13148671e+00,2.12758788e+02,9.94681833e-01,1.92535919e-01
2.55700000e+03,4.09425515e-01,1.11868785e+00,2.06804312e+02,9.94590597e-01,1.80650062e-01
2.74400000e+03,4.36363636e-01,1.13148671e+00,1.99185122e+02,9.94319422e-01,1.92535919e-01
2.88200000e+03,4.36363636e-01,1.13148671e+00,1.94248865e+02,9.94175067e-01,1.92535919e-01
3.05200000e+03,1.03351671e-16,3.24480980e-02,1.88484487e+02,9.99827847e-01,4.56016663e-17
3.26800000e+03,4.36363636e-01,1.13148671e+00,1.79137170e+02,9.93683685e-01,1.92535919e-01
3.44400000e+03,3.15949986e-01,1.06810599e+00,1.73585009e+02,9.93846784e-01,1.39406028e-01
3.67400000e+03,4.36363636e-01,1.13148671e+00,1.67469713e+02,9.93243634e-01,1.92535919e-01
3.84100000e+03,4.36363636e-01,1.13148671e+00,1.61703771e+02,9.93002719e-01,1.92535919e-01
4.03000000e+03,4.36363636e-01,1.13148671e+00,1.52141551e+02,9.92562934e-01,1.92535919e-01
4.19700000e+03,4.36363636e-01,1.13148671e+00,1.45199624e+02,9.92207372e-01,1.92535919e-01
4.33200000e+03,1.98128517e-01,9.82724348e-01,1.41761596e+02,9.93067767e-01,8.74198786e-02
4.62200000e+03,4.36363636e-01,1.13148671e+00,1.33907212e+02,9.91550218e-01,1.92535919e-01
4.87600000e+03,4.36363636e-01,1.13148671e+00,1.25569361e+02,9.90989150e-01,1.92535919e-01
5.06600000e+03,4.28625353e-01,1.12787811e+00,1.20996004e+02,9.90678385e-01,1.89121571e-01
5.26800000e+03,1.19528791e-02,5.95279090e-01,1.14385657e+02,9.94795859e-01,5.27394674e-03
5.40600000e+03,1.99807488e-01,9.84205943e-01,1.11664432e+02,9.91186039e-01,8.81606882e-02
5.54300000e+03,4.36363636e-01,1.13148671e+00,1.08523537e+02,9.89573813e-01,1.92535919e-01
5.73500000e+03,4.36363636e-01,1.13148671e+00,1.00730414e+02,9.88767179e-01,1.92535919e-01
5.85700000e+03,4.36363636e-01,1.13148671e+00,9.62902437e+01,9.88249207e-01,1.92535919e-01
6.05200000e+03,4.36363636e-01,1.13148671e+00,8.54670945e+01,9.86761142e-01,1.92535919e-01
6.27200000e+03,6.77349180e-02,8.11359621e-01,7.74099588e+01,9.89518666e-01,2.98865525e-02
6.39700000e+03,1.51258190e-01,9.36490008e-01,7.44731903e+01,9.87425139e-01,6.67393714e-02
6.53700000e+03,3.37320195e-01,1.08065944e+00,6.98550249e+01,9.84529968e-01,1.48835165e-01
6.82400000e+03,4.36363636e-01,1.13148671e+00,5.91866455e+01,9.80882736e-01,1.92535919e-01
7.04400000e+03,4.36363636e-01,1.13148671e+00,5.14659274e+01,9.78014839e-01,1.92535919e-01
7.24900000e+03,4.36363636e-01,1.13148671e+00,4.29946010e+01,9.73683051e-01,1.92535919e-01
7.58900000e+03,4.36363636e-01,1.13148671e+00,3.34457902e+01,9.66169533e-01,1.92535919e-01
7.90000000e+03,4.36363636e-01,1.13148671e+00,2.56152336e+01,9.55827586e-01,1.92535919e-01
8.16300000e+03,4.36363636e-01,1.13148671e+00,1.68716204e+01,9.32935504e-01,1.92535919e-01
8.38400000e+03,2.74248303e-01,1.04145237e+00,1.04781438e+01,9.00607169e-01,1.21006071e-01
8.75700000e+03,6.45947942e-18,3.24480980e-02,-2.92989328e-01,-1.11074840e+00,2.85010415e-18
