window,scope,i_start_year,i_end_year,hour_in_week_start,hour_in_week_end,depth,mean_soc,count
10-90%,week,3199,3201,7,9,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,week,3196,3202,4,10,0.8000000000000003,0.5000000000000001,0.5
10-90%,week,3202,3210,10,18,0.8000000000000003,0.5000000000000001,0.5
10-90%,week,3210,3213,18,21,0.8000000000000003,0.5000000000000001,0.5
10-90%,week,3234,3237,42,45,0.23011979886100553,0.7849401005694974,1.0
10-90%,week,3213,3245,21,53,0.8000000000000003,0.5000000000000001,0.5
10-90%,week,3245,3247,53,55,0.8000000000000003,0.5000000000000001,0.5
10-90%,week,3247,3257,55,65,0.8000000000000003,0.5000000000000001,0.5
10-90%,week,3264,3265,72,73,1.8947806286936006e-16,0.4230303846027114,1.0
10-90%,week,3260,3269,68,77,0.8,0.5,1.0
10-90%,week,3271,3281,79,89,0.8,0.5,1.0
10-90%,week,3287,3291,95,99,0.1539392307945773,0.5,1.0
10-90%,week,3283,3292,91,100,0.8,0.5,1.0
10-90%,week,3311,3329,119,137,0.33595857456362316,0.2679792872818116,1.0
10-90%,week,3295,3305,103,113,0.8,0.5,1.0
10-90%,week,3352,3353,160,161,4.7369515717340015e-17,0.416067968691756,1.0
10-90%,week,3344,3354,152,162,0.316067968691756,0.258033984345878,1.0
10-90%,week,3331,3341,139,149,0.8,0.5,1.0
10-90%,week,3257,3355,65,163,0.8000000000000003,0.5000000000000001,0.5
10-90%,adjacent,3184,3193,-8,1,0.05456536504639568,0.8727173174768021,1.0
10-90%,adjacent,3166,3196,-26,4,0.8000000000000003,0.5000000000000001,0.5
10-90%,adjacent,3355,3378,163,186,0.8000000000000003,0.5000000000000001,0.5
20-80%,week,3199,3201,7,9,1.1842378929335003e-16,0.1999999999999999,1.0
20-80%,week,3197,3202,5,10,0.6000000000000005,0.5000000000000001,0.5
20-80%,week,3202,3210,10,18,0.6000000000000005,0.5000000000000001,0.5
20-80%,week,3210,3213,18,21,0.6000000000000005,0.5000000000000001,0.5
