window,i_start,i_end,depth,mean_soc,count
10-90%,1,3,0.23842680375515182,0.36086598605469133,1.0
10-90%,0,14,0.7675578757385517,0.5162210621307243,0.5
10-90%,33,35,0.35128244364892025,0.7243587781755398,1.0
10-90%,21,38,0.8,0.5,1.0
10-90%,45,48,0.29123978621882,0.24561989310940993,1.0
10-90%,67,68,0.3188219684502205,0.7405890157748898,1.0
10-90%,69,70,0.25503972149557275,0.7724801392522136,1.0
10-90%,14,50,0.8000000000000003,0.5000000000000001,0.5
10-90%,50,75,0.8000000000000003,0.5000000000000001,0.5
10-90%,83,85,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,75,89,0.8000000000000003,0.5000000000000001,0.5
10-90%,104,109,0.524142402219404,0.6379287988902982,1.0
10-90%,89,112,0.8000000000000003,0.5000000000000001,0.5
10-90%,117,118,0.35554344236714525,0.27777172118357263,1.0
10-90%,112,114,0.8000000000000003,0.5000000000000001,0.5
10-90%,132,136,0.08601158557384603,0.856994207213077,1.0
10-90%,114,130,0.8000000000000003,0.5000000000000001,0.5
10-90%,130,143,0.8000000000000003,0.5000000000000001,0.5
10-90%,153,154,1.8947806286936006e-16,0.9,1.0
10-90%,167,169,2.3684757858670006e-16,0.32671400647503246,1.0
10-90%,157,166,0.8000000000000002,0.5000000000000001,1.0
10-90%,173,176,1.8947806286936006e-16,0.9,1.0
10-90%,143,184,0.8000000000000003,0.5000000000000001,0.5
10-90%,184,189,0.8000000000000003,0.5000000000000001,0.5
10-90%,189,204,0.8000000000000003,0.5000000000000001,0.5
10-90%,210,211,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,204,212,0.8000000000000003,0.5000000000000001,0.5
10-90%,212,223,0.8000000000000003,0.5000000000000001,0.5
10-90%,234,236,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,237,238,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,223,239,0.8000000000000003,0.5000000000000001,0.5
10-90%,245,246,1.8947806286936006e-16,0.9,1.0
10-90%,239,256,0.8000000000000003,0.5000000000000001,0.5
10-90%,261,266,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,275,278,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,284,289,0.24853679618547347,0.22426839809273674,1.0
10-90%,294,310,0.7953224873061667,0.5023387563469167,1.0
10-90%,256,280,0.8000000000000003,0.5000000000000001,0.5
10-90%,331,332,1.8947806286936006e-16,0.9,1.0
10-90%,334,336,0.524142402219404,0.6379287988902982,1.0
10-90%,347,351,0.7525841420735856,0.5237079289632072,1.0
10-90%,280,344,0.8000000000000003,0.5000000000000001,0.5
10-90%,353,355,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,356,365,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,344,370,0.8000000000000003,0.5000000000000001,0.5
10-90%,387,399,1.8947806286936006e-16,0.9,1.0
10-90%,400,402,0.5450837013364516,0.6274581493317745,1.0
10-90%,370,411,0.8000000000000003,0.5000000000000001,0.5
10-90%,416,422,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,424,427,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,429,430,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,474,476,0.09971735423090403,0.850141322884548,1.0
10-90%,477,478,0.3724597055092037,0.7137701472453981,1.0
10-90%,411,432,0.8000000000000003,0.5000000000000001,0.5
10-90%,480,483,1.8947806286936006e-16,0.9,1.0
10-90%,485,486,1.8947806286936006e-16,0.9,1.0
10-90%,432,487,0.8000000000000003,0.5000000000000001,0.5
