e_cap_MWh,p_cap_MW,ep_ratio_h,npv_bat_noDeg_MUSD,npv_bat_multiyear_MUSD,npv_bat_planB_MUSD,rev_bat_yr1_kUSD,rev_bat_yrN_kUSD,rev_bat_fade_pct,npv_total_noDeg_MUSD,npv_total_multiyear_MUSD,fd_yr1,n_replacements,final_soh_pct,capex_MUSD,pv_rev_bat_MUSD,pv_rev_total_MUSD,pv_repl_MUSD,dNPV_dEcap_yr1,elapsed_s
150,275,0.5454545454545454,47.14060881766098,-6.406694248089947,37.146511236694636,7410.087786780387,5812.392080984265,-21.561090121582836,2859.9047782378652,2915.082772929915,0.0262797263594405,1,74.23006110412842,59.0,95.21616107123701,3016.7056282492417,42.62285531932696,452072.42677963886,107.24898549995851
200,275,0.7272727272727273,68.68809472914926,7.195189007499874,55.63553935018032,9532.254237591893,7722.7189842031,-18.98328777523175,2881.4522641493536,2928.684656185505,0.025741512493135436,1,76.54245896137554,67.85,122.63381387859309,3044.123281056598,47.58862487109321,412570.7126365204,109.87566659995355
250,275,0.9090909090909091,88.45315539182802,18.58990793743492,72.48960792028153,11529.982664972216,9412.33383153069,-18.366452881797358,2901.217324812032,2940.0793751154397,0.025185925345204578,1,76.83122679517246,76.7,149.08574474823592,3070.5752119262406,53.79583681080102,377290.76413101703,108.41682980000041
300,275,1.0909090909090908,106.3271132832647,28.698555166071728,87.52839358662797,13395.685869350464,11033.6476512146,-17.63282777136663,2919.091282703469,2950.1880223440767,0.024715848806414656,1,77.11712272772023,85.55,174.25160391658056,3095.741071094585,60.003048750508825,340125.1904638233,105.24126179999439
350,275,1.2727272727272727,122.19388773670542,37.42045259692707,100.74740251669635,15121.259808922321,12577.310827837735,-16.82365763984509,2934.95805715691,2958.909919774932,0.024168883900333685,1,77.38252718349827,94.39999999999999,198.0307132871437,3119.5201804651483,66.21026069021663,296998.9226662693,109.01190570002655
400,275,1.4545454545454546,136.20212476347965,44.7041483737523,112.0899535738165,16717.082038568766,14044.539321621269,-15.986897179672543,2948.9662941836837,2966.1936155517574,0.023776331066766347,1,77.65170324530764,103.25,220.37162100367672,3141.8610881816817,72.41747262992445,252851.2317425451,110.7644571000128
450,275,1.6363636363636365,148.32725873462272,51.7164266391634,121.72699223553698,18181.43753640333,15706.184852177292,-13.61417478276964,2961.091428154827,2973.205893817168,0.023315352520855037,1,79.81181506117369,112.1,240.1510718523986,3161.6405390304035,76.33464521323519,233673.1581651852,106.41821939998772
500,275,1.8181818181818181,159.6868511324997,56.392431208829905,130.62980474344258,19592.347606276602,17005.700504609526,-13.202333654178421,2972.4510205527035,2977.8818983868346,0.022921866283523544,1,80.02118241054566,120.94999999999999,259.70349578100473,3181.1929629590095,82.36106457217481,219446.52073161228,105.97951760003343
600,275,2.1818181818181817,179.53910243933237,63.12862314628055,145.67942873622872,22214.015993848236,19415.578360592364,-12.59762140277042,2992.3032718595364,2984.6180903242853,0.022258712012982663,1,80.41081969780565,138.65,296.1925264363346,3217.6819936143393,94.41390329005405,178610.97299196245,110.45756920002168
700,275,2.5454545454545454,195.62902047130126,66.9952426453736,157.27730393184274,24573.021295533865,21661.450868629872,-11.8486464968521,3008.3931898915057,2988.4847098233786,0.021610025486970864,1,80.74476527263013,156.35,329.81198465330687,3251.3014518313116,106.4667420079333,142668.77396967192,109.86457609996432
800,275,2.909090909090909,208.22268982291502,69.79781083808233,165.45445284637262,26687.93990943393,24061.55109620139,-9.841107339664457,3020.986859243119,2991.287278016087,0.021086275339902233,1,82.85061194595448,174.04999999999998,358.91536494081294,3280.4048321188175,115.06755410273061,102949.24357254658,105.35041299997829
900,275,3.272727272727273,217.4443110750901,68.39944696013607,170.4148983944877,28567.442760070266,25953.15301057786,-9.151290759376241,3030.208480495294,2989.8889141381405,0.020610833645871615,1,83.08588346671897,191.75,386.91878622585625,3308.4082534038607,126.76933926572016,81796.83271675647,104.86596179998014
1000,275,3.6363636363636362,224.58801128663234,64.50167421608188,173.42526781636468,30301.87787935847,27654.8354191269,-8.735572332415508,3037.3521807068364,2985.9911413940868,0.020180054586782604,1,83.2997421447494,209.45,412.4227986447916,3333.912265822796,138.47112442870971,62995.176853251614,103.86963380000088
1100,275,4.0,230.10297734223818,61.006472134332626,174.91975752153812,31922.604746816785,29567.757455214472,-7.376739179897696,3042.8671467624426,2982.495939312337,0.019787132601911596,1,85.22023760962084,227.14999999999998,433.955413485497,3355.4448806635014,145.79894135116436,47031.46639108227,106.13084769999841
1300,275,4.7272727272727275,236.48832892802827,45.57963407924747,173.35541858956185,34839.80229167077,32443.56042829165,-6.8778859401047665,3049.2524983482326,2967.069101257252,0.019154947683202358,1,85.50938012894616,262.55,476.6504883682556,3398.1399555462604,168.52085428900813,20370.726576058223,104.93560750002507
1500,275,5.454545454545454,237.93693122908013,28.500153446077018,167.00667863677853,37412.346211595206,35327.288561565074,-5.573180677409406,3050.7011006492844,2949.989620624082,0.018651285057309244,1,87.38832498701164,297.95,512.1227429867099,3433.6122101647147,185.6725895406329,-3511.719429676159,105.84907009999733
