e_cap_MWh,p_cap_MW,ep_ratio_h,npv_bat_noDeg_MUSD,npv_bat_multiyear_MUSD,npv_bat_planB_MUSD,rev_bat_yr1_kUSD,rev_bat_yrN_kUSD,rev_bat_fade_pct,npv_total_noDeg_MUSD,npv_total_multiyear_MUSD,fd_yr1,n_replacements,replacement_yrs,final_soh_pct,capex_MUSD,pv_rev_bat_MUSD,pv_rev_total_MUSD,pv_repl_MUSD,dNPV_dEcap_yr1,elapsed_s
300,275,1.0909090909090908,84.65697975982054,19.88844750245057,75.28480208140937,13395.685869350464,11033.6476512146,-17.63282777136663,3006.146446937825,2941.377914680455,0.024715848806414656,1,12,77.11712272772023,114.637,174.25160391658056,3095.741071094585,39.72615641412999,227963.348302397,123.02288760000374
350,275,1.2727272727272727,95.87416266565802,26.233095141953974,85.18193078481853,15121.259808922321,12577.310827837735,-16.82365763984509,3017.3636298436627,2947.7225623199583,0.024168883900333685,1,12,77.38252718349827,129.09199999999998,198.0307132871437,3119.5201804651483,42.70561814518973,184848.39740511245,108.1746942999307
400,275,1.4545454545454546,105.16096776897903,31.139541127427258,93.13974737479332,16717.082038568766,14044.539321621269,-15.986897179672543,3026.6504349469838,2952.6290083054323,0.023776331066766347,1,12,77.65170324530764,143.547,220.37162100367672,3141.8610881816817,45.68507987624948,140708.6436928435,111.14802159997635
450,275,1.6363636363636365,112.49187987478255,34.90194407831198,99.23020950862869,18181.43753640333,15706.184852177292,-13.61417478276964,3033.981347052787,2956.391411256317,0.023315352520855037,1,13,79.81181506117369,158.00199999999998,240.1510718523986,3161.6405390304035,47.24712777408662,121536.978416809,112.15450219996274
500,275,1.8181818181818181,119.02765896968567,37.10668671462708,104.54115106049005,19592.347606276602,17005.700504609526,-13.202333654178421,3040.5171261476908,2958.5961538926317,0.022921866283523544,1,13,80.02118241054566,172.457,259.70349578100473,3181.1929629590095,50.139809066377644,107315.2315763642,119.64115239994135
600,275,2.1818181818181817,129.12146449823356,38.90035478537493,112.24058733215243,22214.015993848236,19415.578360592364,-12.59762140277042,3050.6109316762386,2960.3898219633797,0.022258712012982663,1,13,80.41081969780565,201.367,296.1925264363346,3217.6819936143393,55.925171650959676,66486.65079258865,118.89124340005219
700,275,2.5454545454545454,135.3075065697428,37.824450417765185,116.18710329333385,24573.021295533865,21661.450868629872,-11.8486464968521,3056.796973747748,2959.31391759577,0.021610025486970864,1,13,80.74476527263013,230.277,329.81198465330687,3251.3014518313116,61.710534235541715,30549.32811163907,142.36014150001574
800,275,2.909090909090909,137.86215507995044,34.19836802807144,116.53987769058848,26687.93990943393,24061.55109620139,-9.841107339664457,3059.351622257955,2955.687835206076,0.021086275339902233,1,14,82.85061194595448,259.187,358.91536494081294,3280.4048321188175,65.5299969127415,-9166.729943505954,112.68642850010656
900,275,3.272727272727273,136.91441149044692,27.67493243487975,113.46770773259539,28567.442760070266,25953.15301057786,-9.151290759376241,3058.403878668452,2949.1643996128846,0.020610833645871615,1,14,83.08588346671897,288.097,386.91878622585625,3308.4082534038607,71.1468537909765,-30316.531073358958,114.56224320002366
1000,275,3.6363636363636362,133.80842637474834,18.652087975580127,108.30103384715461,30301.87787935847,27654.8354191269,-8.735572332415508,3055.2978935527535,2940.1415551535847,0.020180054586782604,1,14,83.2997421447494,317.007,412.4227986447916,3333.912265822796,76.76371066921148,-49116.18730870326,128.73566569993272
1100,275,4.0,129.0107496010242,8.057279944286838,101.49893234046083,31922.604746816785,29567.757455214472,-7.376739179897696,3050.500216779029,2929.5467471222914,0.019787132601911596,1,15,85.22023760962084,345.917,433.955413485497,3355.4448806635014,79.98113354121016,-65078.326379399805,140.62839379999787
1300,275,4.7272727272727275,114.59128273757189,-17.974163383119567,83.11611514128235,34839.80229167077,32443.56042829165,-6.8778859401047665,3036.0807499155767,2903.515303794885,0.019154947683202358,1,15,85.50938012894616,403.73699999999997,476.6504883682556,3398.1399555462604,90.88765175137517,-91736.77470765857,115.10896750004031
1500,275,5.454545454545454,95.04424023366535,-48.26354823808636,59.68167614433693,37412.346211595206,35327.288561565074,-5.573180677409406,3016.53370741167,2873.2259189399183,0.018651285057309244,1,16,87.38832498701164,461.55699999999996,512.1227429867099,3433.6122101647147,98.82929122479631,-115617.668167386,116.24522390007041
