e_cap_MWh,p_cap_MW,ep_ratio_h,npv_bat_noDeg_MEUR,npv_bat_multiyear_MEUR,npv_bat_planB_MEUR,rev_bat_yr1_kEUR,rev_bat_yrN_kEUR,rev_bat_fade_pct,npv_total_noDeg_MEUR,npv_total_multiyear_MEUR,fd_yr1,n_replacements,replacement_years,final_soh_pct,capex_MEUR,pv_rev_bat_MEUR,pv_rev_total_MEUR,pv_repl_MEUR,dNPV_dEcap_yr1,elapsed_s
300,275,1.0909090909090908,71.74320318628811,16.854616527499907,63.800679730007445,11352.276160466463,9350.548856961488,-17.63282777136672,2547.581734693072,2492.6931480342837,0.024715848806414656,1,12,77.11712272772023,97.14999999999999,147.6708507767626,2623.5093822835465,33.66623424926269,193189.27822237025,121.22783330001403
350,275,1.2727272727272727,81.24929039462536,22.231436560977368,72.18807693628682,12814.626956713826,10658.737989692956,-16.82365763984537,2557.0878219014094,2498.0699680677612,0.024168883900333685,1,12,77.38252718349827,109.39999999999999,167.82263837893476,2643.6611698857187,36.1912018179574,156651.18424162077,127.84401519992389
400,275,1.4545454545454546,89.11946421099921,26.389441633412545,78.93198930067233,14167.018676753194,11902.151967475624,-15.986897179672766,2564.9579957177834,2502.227973140197,0.023776331066766347,1,12,77.65170324530764,121.64999999999999,186.75561102006463,2662.594142526849,38.716169386652105,119244.61329901993,119.85971589991823
450,275,1.6363636363636365,95.33210158879822,29.577918710433327,84.09339788866784,15407.997912206174,13310.326145912975,-13.614174782769329,2571.170633095582,2505.4164502172175,0.023315352520855037,1,13,79.81181506117369,133.9,203.51785750203214,2679.356389008816,40.039938791598836,102997.43933627883,120.77696559997275
500,275,1.8181818181818181,100.87089743193584,31.446335117963663,88.59419581397346,16603.684412098737,14411.60894404307,-13.202343610303435,2576.7094289387196,2507.284866624748,0.022921866283523544,1,13,80.02116949056195,146.15,220.08769873353793,2695.926230240322,42.49136361557428,90945.1115053934,120.58310140005779
600,275,2.1818181818181817,109.42496991375648,32.96640236048643,95.11914180690808,18825.43728292218,16453.87996660367,-12.597621402770343,2585.2635014205403,2508.8049338672704,0.022258712012982663,1,13,80.41081969780565,170.65,251.01061562401156,2726.8491471307952,47.394213263525145,56344.61931575317,120.32958799996413
700,275,2.5454545454545454,114.66737844893383,32.05461899810557,98.46364685875676,20824.594318248986,18357.161753076136,-11.84864649685201,2590.505909955718,2507.8931505048895,0.021610025486970864,1,13,80.74476527263013,195.14999999999998,279.5016819095816,2755.3402134163657,52.297062911476026,25889.26111155853,123.7856080000056
800,275,2.909090909090909,116.83233481351631,28.98135503352242,98.76304982660791,22616.898228333772,20391.147942407966,-9.841094315653997,2592.6708663203003,2504.819886540306,0.021085760002853345,1,14,82.85022074815494,219.64999999999998,304.1652507222864,2780.00378222907,55.533895688763984,-7768.415206360951,121.98994090000633
900,275,3.272727272727273,116.02916228003895,23.452976874246275,96.1590743496563,24209.69725429678,21994.149628679992,-9.151488357515792,2591.8676937868227,2499.2915083810303,0.020610833645871615,1,14,83.08559048568988,244.14999999999998,327.8969207649043,2803.7354522716882,60.29394389065804,-25691.97548589745,121.47809740004595
1000,275,3.6363636363636362,113.39697150402301,15.8066973481417,91.7805371586046,25679.557524879994,23436.256253606825,-8.735747370645752,2589.235503010807,2491.6452288549253,0.020180054586782604,1,14,83.29987461050936,268.65,349.5106894406938,2825.3492209474775,65.0539920925521,-41623.88754974856,122.1921285999706
1100,275,4.0,109.33114372968143,6.828186225919216,86.01604435632264,27053.054870183707,25057.42157221562,-7.376739179897795,2585.1696752364655,2482.666717732703,0.019787132601911596,1,15,85.22023760962084,293.15,367.75880787101255,2843.5973393777967,67.78062164509335,-55151.12405033881,121.44084399996791
1300,275,4.7272727272727275,97.11125655726373,-15.232429480930431,70.43738571295056,29525.256179381966,27494.532561980486,-6.877920398264226,2572.949788064048,2460.6061020258535,0.019154947683202358,1,15,85.509320621175,342.15,403.94100420667564,2879.779535713459,77.02343368760607,-77743.02941326995,122.01420340000186
1500,275,5.454545454545454,80.54596629971628,-40.901230609934906,50.57769164774697,31705.378145419658,29938.388889960588,-5.5731530699763665,2556.3844978065003,2434.937300896849,0.018651285057306816,1,16,87.3883664058572,391.15,434.00240602124836,2909.840937528032,83.75363663118331,-97981.07471812371,121.70260810002219
