cycle_idx,dod,sigma_bar,sg0_charge,sg1_discharge,sg2_boundary,eff_ratio,expected_A,pass_A,pass_B,c_ratio,pass_C
0,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
1,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
2,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
3,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
4,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
5,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
6,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
7,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
9,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
10,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
11,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
12,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
13,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
15,0.256572,0.228286,-1.05803e-05,1.20586e-05,0,1.13972,1.13972,True,True,0,True
17,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
18,0.518864,0.359432,-1.3751e-05,1.56723e-05,0,1.13972,1.13972,True,True,0,True
19,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
20,0.267652,0.500037,-1.41422e-05,1.61181e-05,0,1.13972,1.13972,True,True,0,True
21,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
23,0.340061,0.729969,-1.87471e-05,2.13664e-05,0,1.13972,1.13972,True,True,0,True
24,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
27,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
29,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
30,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
32,0.46835,0.334175,-1.31518e-05,1.49894e-05,0,1.13972,1.13972,True,True,0,True
33,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
34,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
35,0.328284,0.264142,-1.14763e-05,1.30798e-05,0,1.13972,1.13972,True,True,0,True
36,0.401752,0.300876,-1.23609e-05,1.4088e-05,0,1.13972,1.13972,True,True,0,True
37,0.117415,0.841293,-1.74086e-05,1.98409e-05,0,1.13972,1.13972,True,True,0,True
38,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
39,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
40,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
41,0.46835,0.334175,-1.31518e-05,1.49894e-05,0,1.13972,1.13972,True,True,0,True
42,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
43,0.224697,0.787651,-1.84866e-05,2.10696e-05,0,1.13972,1.13972,True,True,0,True
45,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
46,0.350198,0.275099,-1.17425e-05,1.33832e-05,0,1.13972,1.13972,True,True,0,True
49,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
51,0.688387,0.555806,-1.77398e-05,2.02184e-05,0,1.13972,1.13972,True,True,0,True
52,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
53,0.130214,0.165107,-8.77759e-06,1.0004e-05,0,1.13972,1.13972,True,True,0,True
54,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
55,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
56,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
57,0.711485,0.455743,-1.6081e-05,1.83278e-05,0,1.13972,1.13972,True,True,0,True
59,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
60,0.533789,0.366894,-1.39284e-05,1.58746e-05,0,1.13972,1.13972,True,True,0,True
62,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
64,0.328675,0.264338,-1.14811e-05,1.30852e-05,0,1.13972,1.13972,True,True,0,True
65,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
66,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
67,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
71,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
74,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
77,0.8,0.5,-1.71946e-05,1.95971e-05,0,1.13972,1.13972,True,True,0,True
78,0.46835,0.334175,-1.31518e-05,1.49894e-05,0,1.13972,1.13972,True,True,0,True
