cycle_idx,dod,sigma_bar,count,s_sigma,phi_prime,expected_sg,measured_sg,ratio,note
0,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
1,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
2,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
3,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
4,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
5,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
6,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
7,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
8,1.89478e-16,0.9,1,,,,,,skip_zero_dod
9,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
10,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
11,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
12,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
13,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
14,4.73695e-17,0.310218,1,,,,,,skip_zero_dod
15,0.256572,0.228286,1,0.753835,2.99675e-05,1.12953e-05,1.12953e-05,1,
16,1.89478e-16,0.56835,1,,,,,,skip_zero_dod
17,0.8,0.5,1,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
18,0.518864,0.359432,1,0.863993,3.39823e-05,1.46802e-05,1.46802e-05,1,
19,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
20,0.267652,0.500037,1,1.00004,3.01945e-05,1.50979e-05,1.50979e-05,1,
21,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
22,1.18424e-17,0.1,1,,,,,,skip_zero_dod
23,0.340061,0.729969,1,1.27019,3.15132e-05,2.00139e-05,2.00139e-05,1,
24,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
25,1.89478e-16,0.9,1,,,,,,skip_zero_dod
26,1.89478e-16,0.9,1,,,,,,skip_zero_dod
27,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
28,1.18424e-17,0.1,1,,,,,,skip_zero_dod
29,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
30,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
31,1.18424e-17,0.1,1,,,,,,skip_zero_dod
32,0.46835,0.334175,1,0.841594,3.33665e-05,1.40405e-05,1.40405e-05,1,
33,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
34,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
35,0.328284,0.264142,1,0.782476,3.13156e-05,1.22518e-05,1.22518e-05,1,
36,0.401752,0.300876,1,0.812947,3.24653e-05,1.31963e-05,1.31963e-05,1,
37,0.117415,0.841293,1,1.4261,2.60641e-05,1.8585e-05,1.8585e-05,1,
38,0.8,0.5,1,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
39,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
40,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
41,0.46835,0.334175,1,0.841594,3.33665e-05,1.40405e-05,1.40405e-05,1,
42,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
43,0.224697,0.787651,1,1.34872,2.92661e-05,1.97359e-05,1.97359e-05,1,
44,1.89478e-16,0.9,1,,,,,,skip_zero_dod
45,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
46,0.350198,0.275099,1,0.791443,3.16789e-05,1.2536e-05,1.2536e-05,1,
47,1.18424e-17,0.1,1,,,,,,skip_zero_dod
48,1.18424e-17,0.1,1,,,,,,skip_zero_dod
49,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
50,1.89478e-16,0.9,1,,,,,,skip_zero_dod
51,0.688387,0.555806,1,1.05976,3.57414e-05,1.89386e-05,1.89386e-05,1,
52,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
53,0.130214,0.165107,1,0.705895,2.655e-05,9.37076e-06,9.37076e-06,1,
54,0.8,0.5,1,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
55,0.8,0.5,1,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
56,0.8,0.5,1,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
57,0.711485,0.455743,1,0.955016,3.59527e-05,1.71677e-05,1.71677e-05,1,
58,1.89478e-16,0.50493,1,,,,,,skip_zero_dod
59,0.8,0.5,1,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
60,0.533789,0.366894,1,0.870724,3.41548e-05,1.48697e-05,1.48697e-05,1,
61,1.18424e-17,0.1,1,,,,,,skip_zero_dod
62,0.8,0.5,1,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
63,1.18424e-17,0.1,1,,,,,,skip_zero_dod
