Connection,Coord Edge 1,Coord Edge 2
"(0, 8)","(-4011.87140371261, -3981.907147178537)","(-3006.3546268911523, -3981.942085459208)"
"(8, 16)","(-3006.3546268911523, -3981.942085459208)","(-2000.837850069695, -3981.9770237398793)"
"(1, 9)","(-3871.1392080447504, -2844.1844525611405)","(-2865.6224312232926, -2844.219390841812)"
"(9, 17)","(-2865.6224312232926, -2844.219390841812)","(-1860.1056544018354, -2844.2543291224833)"
"(9, 10)","(-2865.6224312232926, -2844.219390841812)","(-2724.8902355554333, -1706.496696224416)"
"(2, 3)","(-3730.407012376891, -1706.4617579437445)","(-3589.6748167090313, -568.7390633263481)"
"(3, 11)","(-3589.6748167090313, -568.7390633263481)","(-2584.1580398875735, -568.7740016070195)"
"(11, 19)","(-2584.1580398875735, -568.7740016070195)","(-1578.6412630661162, -568.808939887691)"
"(11, 12)","(-2584.1580398875735, -568.7740016070195)","(-2443.425844219714, 568.9486930103767)"
"(4, 12)","(-3448.942621041172, 568.9836312910481)","(-2443.425844219714, 568.9486930103767)"
"(12, 13)","(-2443.425844219714, 568.9486930103767)","(-2302.6936485518545, 1706.6713876277731)"
"(5, 13)","(-3308.2104253733123, 1706.7063259084446)","(-2302.6936485518545, 1706.6713876277731)"
"(6, 14)","(-3167.478229705453, 2844.4290205258403)","(-2161.9614528839948, 2844.394082245169)"
"(14, 22)","(-2161.9614528839948, 2844.394082245169)","(-1156.4446760625376, 2844.359143964498)"
"(7, 15)","(-3026.7460340375933, 3982.151715143237)","(-2021.2292572161355, 3982.1167768625655)"
"(15, 23)","(-2021.2292572161355, 3982.1167768625655)","(-1015.7124803946781, 3982.0818385818943)"
"(16, 17)","(-2000.837850069695, -3981.9770237398793)","(-1860.1056544018354, -2844.2543291224833)"
"(10, 18)","(-2724.8902355554333, -1706.496696224416)","(-1719.373458733976, -1706.5316345050874)"
"(18, -1)","(-1719.373458733976, -1706.5316345050874)","(-844.4852518760845, -787.5897507944509)"
"(19, -1)","(-1578.6412630661162, -568.808939887691)","(-844.4852518760845, -787.5897507944509)"
"(22, 23)","(-1156.4446760625376, 2844.359143964498)","(-1015.7124803946781, 3982.0818385818943)"
"(22, 21)","(-1156.4446760625376, 2844.359143964498)","(-1297.1768717303971, 1706.6364493471017)"
"(24, 32)","(-995.3210732482372, -3982.0119620205514)","(10.195703573220403, -3982.0469003012226)"
"(24, 25)","(-995.3210732482372, -3982.0119620205514)","(-854.5888775803777, -2844.289267403155)"
"(25, 26)","(-854.5888775803777, -2844.289267403155)","(-713.8566819125182, -1706.5665727857588)"
"(26, -1)","(-713.8566819125182, -1706.5665727857588)","(-844.4852518760845, -787.5897507944509)"
"(31, 39)","(-10.195703573220403, 3982.0469003012226)","(995.3210732482372, 3982.0119620205514)"
"(39, 47)","(995.3210732482372, 3982.0119620205514)","(2000.837850069695, 3981.9770237398793)"
"(33, 41)","(150.92789924107998, -2844.324205683826)","(1156.4446760625376, -2844.359143964498)"
"(33, 34)","(150.92789924107998, -2844.324205683826)","(291.66009490893947, -1706.6015110664302)"
"(34, -1)","(291.66009490893947, -1706.6015110664302)","(-844.4852518760845, -787.5897507944509)"
"(34, 42)","(291.66009490893947, -1706.6015110664302)","(1297.1768717303971, -1706.6364493471017)"
"(47, 46)","(2000.837850069695, 3981.9770237398793)","(1860.1056544018354, 2844.2543291224833)"
"(44, 52)","(1578.6412630661162, 568.808939887691)","(2584.1580398875735, 568.7740016070195)"
"(52, 51)","(2584.1580398875735, 568.7740016070195)","(2443.425844219714, -568.9486930103767)"
"(52, 60)","(2584.1580398875735, 568.7740016070195)","(3589.6748167090313, 568.7390633263481)"
"(55, 63)","(3006.3546268911523, 3981.942085459208)","(4011.87140371261, 3981.907147178537)"
"(63, 62)","(4011.87140371261, 3981.907147178537)","(3871.1392080447504, 2844.1844525611405)"
"(21, 20)","(-1297.1768717303971, 1706.6364493471017)","(-1437.9090673982566, 568.9137547297053)"
"(20, -1)","(-1437.9090673982566, 568.9137547297053)","(-844.4852518760845, -787.5897507944509)"
"(32, 40)","(10.195703573220403, -3982.0469003012226)","(1015.7124803946781, -3982.0818385818943)"
"(29, 28)","(-291.66009490893947, 1706.6015110664302)","(-432.39229057679904, 568.8788164490338)"
"(29, 30)","(-291.66009490893947, 1706.6015110664302)","(-150.92789924107998, 2844.324205683826)"
"(28, -1)","(-432.39229057679904, 568.8788164490338)","(-844.4852518760845, -787.5897507944509)"
"(30, 38)","(-150.92789924107998, 2844.324205683826)","(854.5888775803777, 2844.289267403155)"
"(38, 46)","(854.5888775803777, 2844.289267403155)","(1860.1056544018354, 2844.2543291224833)"
