Hour [h],Power wind farm [W]
0,46356901.85044555
1,38532427.15121751
2,52175829.330192365
3,60318547.248985834
4,61036333.65342192
5,89658460.27249683
6,79645906.53349967
7,61599845.4822514
8,44469680.42625241
9,27347327.189870544
10,9144414.210755697
11,11442739.776568757
12,39865761.65841576
13,49921340.75688949
14,98149462.57408027
15,115037247.9633946
16,188386781.62106195
17,241497565.5736915
18,234454962.06049833
19,267403568.8799987
20,203512037.87851125
21,283195585.6798753
22,258709068.47348595
23,227362816.78544593
24,215579342.50177303
25,193827538.73907036
26,204692176.7284189
27,136368682.96824452
28,146940642.55168545
29,157476233.47295997
30,106374417.928414
31,121934572.0778071
32,147823767.25414813
33,122509285.13322255
34,86063360.4799305
35,157936122.29798168
36,98959752.31290956
37,88869248.13042286
38,41453865.7385489
39,58491593.085022494
40,54318151.95380287
41,31931679.740466498
42,91435018.27229552
43,176721158.02173805
44,208876313.25500038
45,197711363.67144206
46,169110212.12382466
47,163500024.3710355
48,167317991.2608368
49,171067465.93028438
50,148634667.51371408
51,186820729.02183402
52,194050658.88013202
53,217338670.70033178
54,242144793.77561438
55,246813144.82972702
56,322425106.5562597
57,344280390.7448759
58,343401001.51962286
59,340277667.58347887
60,344280601.013252
61,342700932.3682317
62,344280588.1856825
63,344280469.06552786
64,344280596.9013029
65,344280595.68706536
66,340024239.1581712
67,327740223.5342151
68,114645944.26118217
69,36976182.625161424
70,53648428.33949559
71,64421683.347975105
72,76556852.3196226
73,61102369.87158894
74,58032153.313355684
75,51698480.370809324
76,51919532.127948694
77,50024212.41307892
78,71455483.30091661
79,84419676.27018972
80,74421582.56089142
81,106644254.29765077
82,128125501.50765906
83,121851725.40070085
84,131175514.56410997
85,139312878.77625307
86,123576184.78291884
87,137264026.9029749
88,214429087.3063241
89,271232027.44575334
90,208827695.15691704
91,207203025.12370384
92,272157809.7989534
93,251894256.74092546
94,243684820.2163509
95,259934887.130606
96,263878240.04440108
97,318552165.4666521
98,233328373.5988826
99,104958889.2108727
100,163609875.15474492
101,205394681.53063205
102,119956785.21953961
103,129880387.78571004
104,88346528.20663518
105,101414501.35326752
106,73343570.47081664
107,109144353.32379262
108,148016420.42515457
109,158293802.90388867
110,93308126.81374347
111,68940934.05688252
112,109079034.85908182
113,66593293.09639144
114,96933252.92735986
115,90036301.30466704
116,146793091.85260698
117,142244213.64320225
118,72992871.90784414
119,60667801.33009958
120,52678196.99521017
121,89447293.64374097
122,77316968.99603264
123,38020355.09986654
124,18058123.781189922
125,5577436.710709757
126,1864793.1695047733
127,1850543.8092923667
128,18435965.99448094
129,38514816.333465196
130,36908432.12386047
131,19931020.963633884
132,12859260.535485322
133,8660050.967624608
134,5191641.762841737
135,13599484.303894563
136,19729654.301190306
137,37531344.87372817
138,72718448.13484484
139,89022819.21039462
140,82766961.69931209
141,127147207.50590122
142,114451791.95334978
143,153522172.56543532
144,153031788.70835564
145,227651635.49984527
146,273920599.5076768
147,276589259.03855324
148,340103271.61239374
149,337447804.74485505
150,330122064.72617495
151,294262498.36079246
152,294567122.16294754
153,158750872.54557467
154,132489822.84463948
155,147941149.20072922
156,181643095.70641202
157,118474255.92595465
158,127487541.57460658
159,142032704.12092933
160,148067008.17749748
161,79513044.83797796
162,99461698.8497484
163,71462141.42216429
164,81354179.11294535
165,129540813.54438552
166,116516414.0122285
167,81641606.80919461
168,70027202.47322045
169,103432087.82117906
170,107128279.29802755
171,122939099.32030904
172,110980931.92769034
173,105087889.69987096
174,159866677.00964716
175,145154260.49561015
176,142662377.39911366
177,151976304.30098698
178,120715037.67130405
179,125682234.26600228
180,62443830.69239305
181,42288439.79616469
182,82844404.5197177
183,82566919.12545203
184,52682911.383709885
185,82973842.76456004
186,158381590.3245262
187,147142173.35298404
188,173213599.16118023
189,231434098.42509177
190,274378165.1220255
191,290752423.43569905
192,270892406.9024611
193,254238869.68950716
194,228337026.82789952
195,245144056.3494369
196,220205776.25183633
197,209584961.68959537
198,192170534.32294077
199,150099771.06574327
200,112818403.66591813
201,88111206.54725571
202,88440084.33042766
203,107148455.13939606
204,103471188.41017781
205,143132146.4523112
206,112818403.66591813
207,78969567.28347263
208,79283060.90581486
209,107831286.43829192
210,150700937.1297057
211,154656743.91481894
212,140220626.02943158
213,150748245.9679939
214,131531217.71744597
215,116221170.16677684
216,122239413.9008143
217,118615107.55306302
218,105142229.89386046
219,96543372.63473843
220,82081637.00074883
221,87862150.21547748
222,77732855.24954823
223,74941791.46906635
224,81400940.06596553
225,87433697.38194008
226,108987201.0163939
227,78582654.33338608
228,52027910.14717007
229,49478690.51051408
