Turbine_ID,X_m,Y_m
0,-4011.87140371261,-3981.907147178537
1,-3871.1392080447504,-2844.1844525611405
2,-3730.407012376891,-1706.4617579437445
3,-3589.674816709032,-568.7390633263481
4,-3448.942621041172,568.9836312910481
5,-3308.2104253733123,1706.7063259084446
6,-3167.478229705453,2844.4290205258403
7,-3026.7460340375933,3982.151715143237
8,-3006.3546268911523,-3981.942085459208
9,-2865.622431223293,-2844.219390841812
10,-2724.8902355554333,-1706.496696224416
11,-2584.158039887573,-568.7740016070195
12,-2443.425844219714,568.9486930103767
13,-2302.6936485518545,1706.6713876277731
14,-2161.9614528839948,2844.394082245169
15,-2021.2292572161357,3982.1167768625655
16,-2000.837850069695,-3981.9770237398793
17,-1860.1056544018356,-2844.254329122484
18,-1719.373458733976,-1706.5316345050874
19,-1578.6412630661162,-568.808939887691
20,-1437.9090673982566,568.9137547297053
21,-1297.1768717303971,1706.6364493471017
22,-1156.4446760625376,2844.359143964498
23,-1015.712480394678,3982.0818385818943
24,-995.3210732482372,-3982.011962020552
25,-854.5888775803777,-2844.289267403155
26,-713.8566819125182,-1706.5665727857588
27,-573.1244862446586,-568.8438781683625
28,-432.39229057679904,568.8788164490338
29,-291.66009490893947,1706.6015110664302
30,-150.92789924107998,2844.324205683826
31,-10.195703573220404,3982.046900301223
32,10.195703573220404,-3982.046900301223
33,150.92789924107998,-2844.324205683826
34,291.66009490893947,-1706.6015110664302
35,432.39229057679904,-568.8788164490338
36,573.1244862446586,568.8438781683625
37,713.8566819125182,1706.5665727857588
38,854.5888775803777,2844.289267403155
39,995.3210732482372,3982.011962020552
40,1015.712480394678,-3982.0818385818943
41,1156.4446760625376,-2844.359143964498
42,1297.1768717303971,-1706.6364493471017
43,1437.9090673982566,-568.9137547297053
44,1578.6412630661162,568.808939887691
45,1719.373458733976,1706.5316345050874
46,1860.1056544018356,2844.254329122484
47,2000.837850069695,3981.9770237398793
48,2021.2292572161357,-3982.1167768625655
49,2161.9614528839948,-2844.394082245169
50,2302.6936485518545,-1706.6713876277731
51,2443.425844219714,-568.9486930103767
52,2584.158039887573,568.7740016070195
53,2724.8902355554333,1706.496696224416
54,2865.622431223293,2844.219390841812
55,3006.3546268911523,3981.942085459208
56,3026.7460340375933,-3982.151715143237
57,3167.478229705453,-2844.4290205258403
58,3308.2104253733123,-1706.7063259084446
59,3448.942621041172,-568.9836312910481
60,3589.674816709032,568.7390633263481
61,3730.407012376891,1706.4617579437445
62,3871.1392080447504,2844.1844525611405
63,4011.87140371261,3981.907147178537
64,4032.26281085905,-3982.186653423909
